new_id,batch,sex,ssctotal,sscyear,hsctotal,hscyear,dif_ssc_hsc,dif_hsc_uni,drop_out,semester1_cgpa,semester1_fail,semester2_cgpa,semester2_fail,semester3_cgpa,semester3_fail,semester4_cgpa,semester4_fail,semester5_cgpa,semester5_fail,semester6_cgpa,semester6_fail,semester7_cgpa,semester7_fail,semester8_cgpa,semester8_fail
6,20160,female,4.63,2013.0,3.83,2015.0,0,1,regular,2.4166666666666665,0,2.5795454545454546,0,2.5694444444444446,0,2.297872340425532,2,2.297872340425532,0,2.297872340425532,0,2.297872340425532,0,2.297872340425532,0
7,20162,male,5.0,2009.0,5.0,2011.0,0,5,regular,3.1666666666666665,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0,3.3636363636363638,0
10,20161,male,5.0,2012.0,4.1,2014.0,0,2,dropOut,2.25,1,1.35,3,1.35,0,1.35,0,1.35,0,1.35,0,1.35,0,1.35,0
12,20170,female,4.75,2013.0,4.0,2015.0,0,2,regular,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0,3.25,0
13,20120,male,3.94,2009.0,3.9,2011.0,0,1,dropOut,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
14,20112,male,4.38,2004.0,3.4,2007.0,1,4,dropOut,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
16,20152,male,4.06,2012.0,4.7,2014.0,0,1,regular,3.5833333333333335,0,3.0113636363636362,1,3.65625,0,3.588888888888889,0,3.5833333333333335,0,3.5833333333333335,0,3.5833333333333335,0,3.5833333333333335,0
17,20152,female,5.0,2011.0,4.3,2013.0,0,2,regular,2.8333333333333335,0,2.522727272727273,1,2.4921875,1,2.8988095238095237,0,2.7547169811320753,2,2.7547169811320753,0,2.7547169811320753,0,2.7547169811320753,0
18,20160,male,5.0,2012.0,5.0,2014.0,0,2,regular,2.5,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,0
19,20120,male,4.75,2008.0,3.4,2011.0,1,1,dropOut,1.9166666666666667,1,3.1184210526315788,0,2.828125,1,2.682926829268293,1,2.682926829268293,0,2.682926829268293,0,2.682926829268293,0,2.682926829268293,0
